2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/02 14:00; Rainfall: 1.27
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/03 08:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/03 14:00; Rainfall: 2.794
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/04 08:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/04 14:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/05 08:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/05 14:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/06 08:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/06 14:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/07 08:00; Rainfall: 5.08
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/07 14:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/08 08:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/08 14:00; Rainfall: 0
2016-12-14 13:36:13.479 +02:00 [Verbose] Date: 1937/10/09 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/09 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/10 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/10 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/11 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/11 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/12 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/12 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/13 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/13 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/14 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/14 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/15 08:00; Rainfall: 0
